"rank","name","step","value"
0,"cpu: I/O Wait %",22,0
0,"cpu: IRQ %",22,0
0,"cpu: soft IRQ %",22,0.00567988
0,"cpu: Steal %",22,0
0,"cpu: Guest %",22,0
0,"meminfo:MemTotal (MB)",22,630978
0,"meminfo:MemFree (MB)",22,556465
0,"meminfo:MemAvailable (MB)",22,588239
0,"program size (pages)",23,79771
0,"resident set size (pages)",23,2658
0,"resident shared pages",23,814
0,"Page faults (minor)",23,4747
0,"Page faults (major)",23,24
0,"Pages swapped (not maintained)",23,0
0,"GPU: Device 0 Utilization %",23,0
0,"GPU: Device 0 Memory Utilization %",23,0
0,"GPU: Device 0 Memory Free (GB)",23,16.9428
0,"GPU: Device 0 Memory Used (GB)",23,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",23,877
0,"cpu: User %",23,3.43849
0,"cpu: Nice %",23,0
0,"cpu: System %",23,0.0283704
0,"cpu: Idle %",23,96.5331
0,"cpu: I/O Wait %",23,0
0,"cpu: IRQ %",23,0
0,"cpu: soft IRQ %",23,0
0,"cpu: Steal %",23,0
0,"cpu: Guest %",23,0
0,"meminfo:MemTotal (MB)",23,630978
0,"meminfo:MemFree (MB)",23,556465
0,"meminfo:MemAvailable (MB)",23,588239
0,"program size (pages)",24,79771
0,"resident set size (pages)",24,2658
0,"resident shared pages",24,814
0,"Page faults (minor)",24,4747
0,"Page faults (major)",24,24
0,"Pages swapped (not maintained)",24,0
0,"GPU: Device 0 Utilization %",24,0
0,"GPU: Device 0 Memory Utilization %",24,0
0,"GPU: Device 0 Memory Free (GB)",24,16.9428
0,"GPU: Device 0 Memory Used (GB)",24,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",24,877
0,"cpu: User %",24,3.43592
0,"cpu: Nice %",24,0
0,"cpu: System %",24,0.00568861
0,"cpu: Idle %",24,96.5584
0,"cpu: I/O Wait %",24,0
0,"cpu: IRQ %",24,0
0,"cpu: soft IRQ %",24,0
0,"cpu: Steal %",24,0
0,"cpu: Guest %",24,0
0,"meminfo:MemTotal (MB)",24,630978
0,"meminfo:MemFree (MB)",24,556464
0,"meminfo:MemAvailable (MB)",24,588238
0,"program size (pages)",25,79771
0,"resident set size (pages)",25,2658
0,"resident shared pages",25,814
0,"Page faults (minor)",25,4747
0,"Page faults (major)",25,24
0,"Pages swapped (not maintained)",25,0
0,"GPU: Device 0 Utilization %",25,0
